"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C7","2","4.7u 35V","","","","Wampler:CAP_ELEC_4.7UF","~"
"C2","1","30p","","","","Wampler:CAP_MLCC_30PF","~"
"C3","1","100p","","","","Wampler:CAP_MLCC_100PF","~"
"C4,C9","2","22n","","","","Wampler:CAP_FILM_22NF","~"
"C5","1","2.2u 35V","","","","Wampler:CAP_ELEC_2.2UF","~"
"C6","1","1n","","","","Wampler:CAP_MLCC_1NF","~"
"C8","1","3.3n","","","","Wampler:CAP_MLCC_3.3NF","~"
"C10","1","100u 35V","","","","Wampler:CAP_ELEC_100UF","~"
"C11,C12","2","1u 35V","","","","Wampler:CAP_ELEC_1UF","~"
"D1,D2","2","1N4148","","","","Wampler:DIODE_1N4148","~"
"D3","1","LED","","","","Wampler:LED_5MM","~"
"D4","1","1N4001","","","","Wampler:DIODE_1N4001","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1,J2","2","~","","","","Wampler:CONNECTOR_4",""
"J3,J4,J5","3","~","","","","Wampler:CONNECTOR_2",""
"Q1","1","2N5458","","","","Wampler:BJT_2N5458","~"
"R1","1","560R","","","","Wampler:RESISTOR_1/4W","~"
"R2","1","47R","","","","Wampler:RESISTOR_1/4W","~"
"R3,R5,R19","3","1k","","","","Wampler:RESISTOR_1/4W","~"
"R4","1","1.5k","","","","Wampler:RESISTOR_1/4W","~"
"R6,R8,R12","3","1M","","","","Wampler:RESISTOR_1/4W","~"
"R7","1","10k","","","","Wampler:RESISTOR_1/4W","~"
"R17","1","10R","","","","Wampler:RESISTOR_1/4W","~"
"R18,R20","2","100k","","","","Wampler:RESISTOR_1/4W","~"
"RV1,RV2,RV3","3","100KA","","","","Wampler:POT_16MM_RA","~"
"U1","1","LM308","","","","Wampler:OP_AMP",""
